0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0.245905,>23|01:198.502,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.992,0.6,-0.65,-0.28,23.24,100.24,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<56,-0.010987,0,0.001154,32752,0,0,0,0,1
0.246414,>23|01:198.602,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.992,0.6,-0.65,-0.28,23.2,99.84,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<47,-0.010987,0,0.001154,32752,0,0,0,0,1
0.249731,>23|01:198.602,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.992,0.6,-0.65,-0.28,23.2,99.84,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<47,-0.009156,0.001831,0.001602,32756,0,0,0,0,1
0.254033,>23|01:198.602,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.992,0.6,-0.65,-0.28,23.2,99.84,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<47,-0.013733,-0.000916,0.001602,32749,0,0,0,0,1
0.261075,>23|01:198.602,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.992,0.6,-0.65,-0.28,23.2,99.84,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<47,-0.011902,0,0.001602,32753,0,0,0,0,1
0.264309,>23|01:198.602,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.992,0.6,-0.65,-0.28,23.2,99.84,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<47,-0.013733,-0.000916,0.001602,32754,0,0,0,0,1
0.26673,>23|01:198.602,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.992,0.6,-0.65,-0.28,23.2,99.84,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<47,-0.014649,-0.001831,0.001602,32753,0,0,0,0,1
0.276514,>23|01:198.602,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.992,0.6,-0.65,-0.28,23.2,99.84,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<47,-0.007324,0.003662,0.001602,32758,0,0,0,0,1
0.279154,>23|01:198.602,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.992,0.6,-0.65,-0.28,23.2,99.84,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<47,-0.010987,0,0.001602,32755,0,0,0,0,1
0.283383,>23|01:198.602,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.992,0.6,-0.65,-0.28,23.2,99.84,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<47,-0.006409,0.004578,0.001602,32759,0,0,0,0,1
0.286952,>23|01:198.602,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.992,0.6,-0.65,-0.28,23.2,99.84,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<47,-0.011902,0,0.001602,32756,0,0,0,0,1
0.289835,>23|01:198.602,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.992,0.6,-0.65,-0.28,23.2,99.84,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<47,-0.010071,0.000916,0.001602,32756,0,0,0,0,1
0.293153,>23|01:198.602,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.992,0.6,-0.65,-0.28,23.2,99.84,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<47,-0.010071,0.000916,0.001602,32756,0,0,0,0,1
0.295603,>23|01:198.602,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.992,0.6,-0.65,-0.28,23.2,99.84,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<47,-0.013733,-0.000916,0.001602,32751,0,0,0,0,1
0.298034,>23|01:198.602,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.992,0.6,-0.65,-0.28,23.2,99.84,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<47,-0.004578,0.006409,0.001602,32755,0,0,0,0,1
0.301697,>23|01:198.602,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.992,0.6,-0.65,-0.28,23.2,99.84,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<47,-0.009156,0.001831,0.001602,32756,0,0,0,0,1
